user,purpose,destination
94,Holiday/ Rest & Relax,Marina Bay Sands
95,Holiday/ Rest & Relax,Marina Bay Sands
96,Holiday/ Rest & Relax,Marina Bay Sands
97,Holiday/ Rest & Relax,Marina Bay Sands
98,Holiday/ Rest & Relax,Marina Bay Sands
99,Holiday/ Rest & Relax,Marina Bay Sands
100,To shop/attend shopping events in Singapore,The Centrepoint
101,General business purpose,City Square Mall
102,"IR (e.g. MBS, RWS)",Marina Bay Sands
103,Holiday/ Rest & Relax,Duo
104,General business purpose,Far East Plaza
105,Holiday/ Rest & Relax,Funan
106,Holiday/ Rest & Relax,Great World City
107,Holiday/ Rest & Relax,HDB Hub
108,Holiday/ Rest & Relax,ION Orchard
109,Holiday/ Rest & Relax,Junction 8
110,General business purpose,Knightsbridge
111,Holiday/ Rest & Relax,Liat Towers
112,General business purpose,Lucky Plaza
113,Holiday/ Rest & Relax,Marina Bay Sands
114,To shop/attend shopping events in Singapore,The Shoppes at Marina Bay Sands
115,Holiday/ Rest & Relax,Marina Bay Link Mall
116,To shop/attend shopping events in Singapore,Marina Square
117,General business purpose,Millenia Walk
118,Company sponsored holiday,Ngee Ann City
119,Sightseeing/ Attractions,Orchard Central
120,To shop/attend shopping events in Singapore,Orchard Gateway
121,General business purpose,Orchard Plaza
122,Holiday/ Rest & Relax,Midpoint Orchard
123,Holiday/ Rest & Relax,Palais Renaissance
124,Holiday/ Rest & Relax,People's Park Centre
125,To shop/attend shopping events in Singapore,People's Park Complex
126,Holiday/ Rest & Relax,Plaza Singapura
127,Holiday/ Rest & Relax,Raffles City
128,Company sponsored holiday,Scotts Square
129,General business purpose,Sim Lim Square
130,Sightseeing/ Attractions,Singapore Shopping Centre
131,General business purpose,The South Beach
132,General business purpose,Square 2
133,Holiday/ Rest & Relax,Marina Bay Sands
134,Holiday/ Rest & Relax,Marina Bay Sands
135,Holiday/ Rest & Relax,Marina Bay Sands
136,Holiday/ Rest & Relax,Marina Bay Sands
137,Holiday/ Rest & Relax,Marina Bay Sands
138,Holiday/ Rest & Relax,Marina Bay Sands
139,General business purpose,Marina Barrage
140,Holiday/ Rest & Relax,Marina Bay Sands
141,Holiday/ Rest & Relax,Marina Bay Sands
142,Holiday/ Rest & Relax,Marina Bay Sands
143,Holiday/ Rest & Relax,Marina Bay Sands
144,Holiday/ Rest & Relax,Marina Bay Sands
145,General business purpose,Marina Barrage
146,Holiday/ Rest & Relax,Marina Bay Sands
147,Holiday/ Rest & Relax,Marina Bay Sands
148,Holiday/ Rest & Relax,Marina Bay Sands
149,General business purpose,Marina Barrage
150,Holiday/ Rest & Relax,Marina Bay Sands
151,Holiday/ Rest & Relax,Marina Bay Sands
152,Holiday/ Rest & Relax,Marina Bay Sands
153,Holiday/ Rest & Relax,Marina Bay Sands
154,Holiday/ Rest & Relax,Marina Bay Sands
155,Holiday/ Rest & Relax,Marina Bay Sands
156,Holiday/ Rest & Relax,Marina Bay Sands
157,Holiday/ Rest & Relax,Marina Bay Sands
158,Holiday/ Rest & Relax,Marina Bay Sands
159,Holiday/ Rest & Relax,Marina Bay Sands
160,Holiday/ Rest & Relax,Marina Bay Sands
161,To shop/attend shopping events in Singapore,100 AM
162,To shop/attend shopping events in Singapore,313@Somerset
163,Holiday/ Rest & Relax,Aperia
164,Holiday/ Rest & Relax,Balestier Hill Shopping Centre
165,General business purpose,Bugis Cube
166,Holiday/ Rest & Relax,Bugis Junction
167,General business purpose,Bugis+
168,Holiday/ Rest & Relax,Capitol Piazza
169,Holiday/ Rest & Relax,Cathay Cineleisure Orchard
170,Holiday/ Rest & Relax,The Centrepoint
171,Holiday/ Rest & Relax,City Square Mall
172,Holiday/ Rest & Relax,CityLink Mall
173,Holiday/ Rest & Relax,Duo
174,To shop/attend shopping events in Singapore,Far East Plaza
175,Holiday/ Rest & Relax,Funan
176,Holiday/ Rest & Relax,Great World City
177,To shop/attend shopping events in Singapore,HDB Hub
178,Holiday/ Rest & Relax,ION Orchard
179,General business purpose,Junction 8
180,Holiday/ Rest & Relax,Knightsbridge
181,Holiday/ Rest & Relax,Liat Towers
182,Holiday/ Rest & Relax,Lucky Plaza
183,Holiday/ Rest & Relax,Marina Bay Sands
184,Holiday/ Rest & Relax,The Shoppes at Marina Bay Sands
185,Holiday/ Rest & Relax,Marina Bay Link Mall
186,Holiday/ Rest & Relax,Marina Square
187,Holiday/ Rest & Relax,Millenia Walk
188,Exhibition/Trade show,Raffles Hotel
189,Holiday/ Rest & Relax,Orchard Central
190,Holiday/ Rest & Relax,Orchard Gateway
191,Holiday/ Rest & Relax,Orchard Plaza
192,Holiday/ Rest & Relax,Midpoint Orchard
193,Holiday/ Rest & Relax,Palais Renaissance
194,Holiday/ Rest & Relax,People's Park Centre
195,Holiday/ Rest & Relax,People's Park Complex
196,Holiday/ Rest & Relax,Plaza Singapura
197,Holiday/ Rest & Relax,Raffles City
198,Holiday/ Rest & Relax,Scotts Square
199,Holiday/ Rest & Relax,Sim Lim Square
200,Holiday/ Rest & Relax,Singapore Shopping Centre
201,To shop/attend shopping events in Singapore,The South Beach
202,To shop/attend shopping events in Singapore,Square 2
203,To shop/attend shopping events in Singapore,Sunshine Plaza
204,General business purpose,Suntec City
205,Holiday/ Rest & Relax,Tanglin Mall
206,To shop/attend shopping events in Singapore,Tanjong Pagar Centre
207,General business purpose,Tekka Centre
208,General business purpose,The Adelphi
209,General business purpose,The Paragon
210,General business purpose,Tiong Bahru Plaza
211,Holiday/ Rest & Relax,The Poiz
212,Holiday/ Rest & Relax,Thomson Plaza
213,Holiday/ Rest & Relax,United Square
214,Holiday/ Rest & Relax,Thomson V
215,Holiday/ Rest & Relax,Velocity@Novena Square
216,To shop/attend shopping events in Singapore,Wheelock Place
217,Holiday/ Rest & Relax,Wisma Atria
218,Holiday/ Rest & Relax,Zhongshan Mall
219,Holiday/ Rest & Relax,Bedok Mall
220,Holiday/ Rest & Relax,Century Square
221,Holiday/ Rest & Relax,Our Tampines Hub
222,Holiday/ Rest & Relax,Changi City Point
223,Holiday/ Rest & Relax,Downtown East
224,Holiday/ Rest & Relax,Djitsun Mall Bedok
225,Holiday/ Rest & Relax,Eastpoint Mall
226,Holiday/ Rest & Relax,Jewel Changi Airport
227,Holiday/ Rest & Relax,Katong Shopping Centre
228,Holiday/ Rest & Relax,Katong Square
229,Holiday/ Rest & Relax,Kallang Wave Mall
230,Holiday/ Rest & Relax,Leisure Park Kallang
231,Holiday/ Rest & Relax,i12 Katong
232,Holiday/ Rest & Relax,Parkway Parade
233,To shop/attend shopping events in Singapore,Paya Lebar Square
234,To shop/attend shopping events in Singapore,Roxy Square
235,Holiday/ Rest & Relax,Singpost Centre
236,Holiday/ Rest & Relax,Tampines 1
237,General business purpose,Tampines Mall
238,Holiday/ Rest & Relax,White Sands
239,Holiday/ Rest & Relax,City Plaza
240,To shop/attend shopping events in Singapore,Elias Mall
241,"IR (e.g. MBS, RWS)",Marina Bay Sands
242,General business purpose,888 Plaza
243,To shop/attend shopping events in Singapore,Admiralty Place
244,Holiday/ Rest & Relax,AMK Hub
245,Holiday/ Rest & Relax,Canberra Plaza
246,Holiday/ Rest & Relax,Causeway Point
247,Holiday/ Rest & Relax,Woodlands Civic Centre
248,General business purpose,Broadway Plaza
249,Holiday/ Rest & Relax,Djitsun Mall
250,Holiday/ Rest & Relax,Jubilee Square
251,To shop/attend shopping events in Singapore,Junction 8
252,Holiday/ Rest & Relax,Junction Nine
253,To shop/attend shopping events in Singapore,Marsiling Mall
254,Holiday/ Rest & Relax,Northpoint City
255,To shop/attend shopping events in Singapore,Sembawang Shopping Centre
256,Holiday/ Rest & Relax,Sun Plaza
257,Holiday/ Rest & Relax,Vista Point
258,Company sponsored holiday,Wisteria Mall
259,Holiday/ Rest & Relax,Woodlands Mart
260,Holiday/ Rest & Relax,Woodlands North Plaza
261,Holiday/ Rest & Relax,Waterway Point
262,Holiday/ Rest & Relax,Compass One
263,Holiday/ Rest & Relax,Hougang Mall
264,Holiday/ Rest & Relax,Heartland Mall
265,To shop/attend shopping events in Singapore,NEX
266,To shop/attend shopping events in Singapore,Buangkok Square
267,General business purpose,Greenwich V
268,General business purpose,Hougang 1
269,Holiday/ Rest & Relax,Hougang Green Shopping Mall
270,Holiday/ Rest & Relax,Hougang Rivercourt
271,Holiday/ Rest & Relax,myVillage At Serangoon Garden
272,Holiday/ Rest & Relax,Northshore Plaza
273,Holiday/ Rest & Relax,Oasis Terraces
274,Holiday/ Rest & Relax,Punggol Plaza
275,Holiday/ Rest & Relax,Rivervale Mall
276,Holiday/ Rest & Relax,Rivervale Plaza
277,Holiday/ Rest & Relax,The Seletar Mall
278,Holiday/ Rest & Relax,Upper Serangoon Shopping Centre
279,Holiday/ Rest & Relax,Beauty World Centre
280,Holiday/ Rest & Relax,Beauty World Plaza
281,General business purpose,Bukit Panjang Plaza
282,Holiday/ Rest & Relax,Bukit Timah Plaza
283,Holiday/ Rest & Relax,Fajar Shopping Centre
284,Holiday/ Rest & Relax,Greenridge Shopping Centre
285,Holiday/ Rest & Relax,Hillion Mall
286,Holiday/ Rest & Relax,HillV2
287,Holiday/ Rest & Relax,Junction 10
288,Holiday/ Rest & Relax,Keat Hong Shopping Centre
289,Holiday/ Rest & Relax,Limbang Shopping Centre
290,Holiday/ Rest & Relax,Lot One
291,To shop/attend shopping events in Singapore,Rail Mall
292,To shop/attend shopping events in Singapore,Sunshine Place
293,General business purpose,Teck Whye Shopping Centre
294,Holiday/ Rest & Relax,West Mall
295,Holiday/ Rest & Relax,Yew Tee Point
296,General business purpose,Yew Tee Square
297,Holiday/ Rest & Relax,321 Clementi
298,Holiday/ Rest & Relax,The Clementi Mall
299,Holiday/ Rest & Relax,IMM
300,General business purpose,JCube
301,General business purpose,Jem
302,Holiday/ Rest & Relax,Westgate
303,Holiday/ Rest & Relax,Jurong Point
304,Holiday/ Rest & Relax,Pioneer Mall
305,Holiday/ Rest & Relax,The Star Vista
306,Holiday/ Rest & Relax,Alexandra Central
307,Holiday/ Rest & Relax,Anchorpoint
308,Holiday/ Rest & Relax,Boon Lay Shopping Centre
309,Holiday/ Rest & Relax,Grantral Mall
310,Holiday/ Rest & Relax,Fairprice Hub
311,Holiday/ Rest & Relax,Gek Poh Shopping Centre
312,Holiday/ Rest & Relax,Rochester Mall
313,Holiday/ Rest & Relax,Taman Jurong Shopping Centre
314,Holiday/ Rest & Relax,West Coast Plaza
315,Holiday/ Rest & Relax,Queensway Shopping Centre
316,To shop/attend shopping events in Singapore,100 AM
317,Holiday/ Rest & Relax,313@Somerset
318,Holiday/ Rest & Relax,Aperia
319,Holiday/ Rest & Relax,Balestier Hill Shopping Centre
320,Holiday/ Rest & Relax,Bugis Cube
321,Company sponsored holiday,Bugis Junction
322,Holiday/ Rest & Relax,Bugis+
323,Holiday/ Rest & Relax,Capitol Piazza
324,Holiday/ Rest & Relax,Cathay Cineleisure Orchard
325,Holiday/ Rest & Relax,The Centrepoint
326,Holiday/ Rest & Relax,City Square Mall
327,Holiday/ Rest & Relax,CityLink Mall
328,General business purpose,Duo
329,Holiday/ Rest & Relax,Far East Plaza
330,Holiday/ Rest & Relax,Funan
331,Holiday/ Rest & Relax,Great World City
332,Holiday/ Rest & Relax,HDB Hub
333,Holiday/ Rest & Relax,ION Orchard
334,Holiday/ Rest & Relax,Junction 8
335,Holiday/ Rest & Relax,Knightsbridge
336,Holiday/ Rest & Relax,Liat Towers
337,Holiday/ Rest & Relax,Lucky Plaza
338,Holiday/ Rest & Relax,Marina Bay Sands
339,Holiday/ Rest & Relax,The Shoppes at Marina Bay Sands
340,Holiday/ Rest & Relax,Marina Bay Link Mall
341,Holiday/ Rest & Relax,Marina Square
342,Holiday/ Rest & Relax,Millenia Walk
343,Holiday/ Rest & Relax,Ngee Ann City
344,Holiday/ Rest & Relax,Orchard Central
345,Holiday/ Rest & Relax,Orchard Gateway
346,Holiday/ Rest & Relax,Orchard Plaza
347,Holiday/ Rest & Relax,Midpoint Orchard
348,Holiday/ Rest & Relax,Palais Renaissance
349,Holiday/ Rest & Relax,People's Park Centre
350,Holiday/ Rest & Relax,People's Park Complex
351,General business purpose,Plaza Singapura
352,Holiday/ Rest & Relax,Raffles City
353,Holiday/ Rest & Relax,Scotts Square
354,Holiday/ Rest & Relax,Sim Lim Square
355,Holiday/ Rest & Relax,Singapore Shopping Centre
356,Holiday/ Rest & Relax,The South Beach
357,Holiday/ Rest & Relax,Square 2
358,Holiday/ Rest & Relax,Sunshine Plaza
359,Holiday/ Rest & Relax,Suntec City
360,Holiday/ Rest & Relax,Tanglin Mall
361,General business purpose,Tanjong Pagar Centre
362,Holiday/ Rest & Relax,Tekka Centre
363,Holiday/ Rest & Relax,The Adelphi
364,Holiday/ Rest & Relax,The Paragon
365,Holiday/ Rest & Relax,Tiong Bahru Plaza
366,Holiday/ Rest & Relax,The Poiz
367,General business purpose,Thomson Plaza
368,Sightseeing/ Attractions,United Square
369,Holiday/ Rest & Relax,Thomson V
370,Holiday/ Rest & Relax,Velocity@Novena Square
371,Holiday/ Rest & Relax,Wheelock Place
372,Holiday/ Rest & Relax,Wisma Atria
373,Holiday/ Rest & Relax,Zhongshan Mall
374,Holiday/ Rest & Relax,Bedok Mall
375,Holiday/ Rest & Relax,Century Square
376,Holiday/ Rest & Relax,Our Tampines Hub
377,Holiday/ Rest & Relax,Changi City Point
378,Holiday/ Rest & Relax,Downtown East
379,Holiday/ Rest & Relax,Djitsun Mall Bedok
380,General business purpose,Eastpoint Mall
381,General business purpose,Jewel Changi Airport
382,General business purpose,Katong Shopping Centre
383,Holiday/ Rest & Relax,Katong Square
384,General business purpose,Kallang Wave Mall
385,General business purpose,Leisure Park Kallang
386,Sightseeing/ Attractions,i12 Katong
387,Holiday/ Rest & Relax,Parkway Parade
388,Holiday/ Rest & Relax,Paya Lebar Square
389,Holiday/ Rest & Relax,Roxy Square
390,Holiday/ Rest & Relax,Singpost Centre
391,Holiday/ Rest & Relax,Tampines 1
392,Holiday/ Rest & Relax,Tampines Mall
393,Holiday/ Rest & Relax,White Sands
394,Holiday/ Rest & Relax,City Plaza
395,Holiday/ Rest & Relax,Elias Mall
396,Holiday/ Rest & Relax,Loyang Point
397,Holiday/ Rest & Relax,888 Plaza
398,Holiday/ Rest & Relax,Admiralty Place
399,General business purpose,AMK Hub
400,Holiday/ Rest & Relax,Canberra Plaza
401,Holiday/ Rest & Relax,Causeway Point
402,General business purpose,Woodlands Civic Centre
403,Holiday/ Rest & Relax,Broadway Plaza
404,Holiday/ Rest & Relax,Djitsun Mall
405,Holiday/ Rest & Relax,Jubilee Square
406,Holiday/ Rest & Relax,Junction 8
407,Holiday/ Rest & Relax,Junction Nine
408,Holiday/ Rest & Relax,Marsiling Mall
409,To shop/attend shopping events in Singapore,Northpoint City
410,Holiday/ Rest & Relax,Sembawang Shopping Centre
411,Sightseeing/ Attractions,Sun Plaza
412,Holiday/ Rest & Relax,Vista Point
413,To shop/attend shopping events in Singapore,Wisteria Mall
414,General business purpose,Woodlands Mart
415,Holiday/ Rest & Relax,Woodlands North Plaza
416,Company sponsored holiday,Waterway Point
417,Holiday/ Rest & Relax,Compass One
418,Holiday/ Rest & Relax,Hougang Mall
419,To shop/attend shopping events in Singapore,Heartland Mall
420,Holiday/ Rest & Relax,NEX
421,Holiday/ Rest & Relax,Buangkok Square
422,Holiday/ Rest & Relax,Greenwich V
423,Holiday/ Rest & Relax,Hougang 1
424,Holiday/ Rest & Relax,Hougang Green Shopping Mall
425,General business purpose,Hougang Rivercourt
426,Holiday/ Rest & Relax,myVillage At Serangoon Garden
427,General business purpose,Northshore Plaza
428,Holiday/ Rest & Relax,Oasis Terraces
429,Holiday/ Rest & Relax,Punggol Plaza
430,Holiday/ Rest & Relax,Rivervale Mall
431,Holiday/ Rest & Relax,Rivervale Plaza
432,Holiday/ Rest & Relax,The Seletar Mall
433,Holiday/ Rest & Relax,Upper Serangoon Shopping Centre
434,Holiday/ Rest & Relax,Beauty World Centre
435,Holiday/ Rest & Relax,Beauty World Plaza
436,Holiday/ Rest & Relax,Bukit Panjang Plaza
437,Holiday/ Rest & Relax,Bukit Timah Plaza
438,Holiday/ Rest & Relax,Fajar Shopping Centre
439,Holiday/ Rest & Relax,Greenridge Shopping Centre
440,Holiday/ Rest & Relax,Hillion Mall
441,Holiday/ Rest & Relax,HillV2
442,Holiday/ Rest & Relax,Junction 10
443,Holiday/ Rest & Relax,Keat Hong Shopping Centre
444,Holiday/ Rest & Relax,Limbang Shopping Centre
445,General business purpose,Lot One
446,Holiday/ Rest & Relax,Rail Mall
447,Holiday/ Rest & Relax,Sunshine Place
448,Holiday/ Rest & Relax,Teck Whye Shopping Centre
449,Holiday/ Rest & Relax,West Mall
450,Holiday/ Rest & Relax,Yew Tee Point
451,General business purpose,Yew Tee Square
452,Holiday/ Rest & Relax,321 Clementi
453,Holiday/ Rest & Relax,The Clementi Mall
454,General business purpose,IMM
455,Holiday/ Rest & Relax,JCube
456,Holiday/ Rest & Relax,Jem
457,Holiday/ Rest & Relax,Westgate
458,Holiday/ Rest & Relax,Jurong Point
459,Holiday/ Rest & Relax,Pioneer Mall
460,General business purpose,The Star Vista
461,Holiday/ Rest & Relax,Alexandra Central
462,Holiday/ Rest & Relax,Anchorpoint
463,Holiday/ Rest & Relax,Boon Lay Shopping Centre
464,Sightseeing/ Attractions,Grantral Mall
465,Holiday/ Rest & Relax,Fairprice Hub
466,Holiday/ Rest & Relax,Gek Poh Shopping Centre
467,General business purpose,Rochester Mall
468,Holiday/ Rest & Relax,Taman Jurong Shopping Centre
469,Holiday/ Rest & Relax,West Coast Plaza
470,Holiday/ Rest & Relax,Queensway Shopping Centre
471,General business purpose,Marina Barrage
472,To shop/attend shopping events in Singapore,100 AM
473,Holiday/ Rest & Relax,313@Somerset
474,Holiday/ Rest & Relax,Aperia
475,To shop/attend shopping events in Singapore,Balestier Hill Shopping Centre
476,Company sponsored holiday,Bugis Cube
477,Holiday/ Rest & Relax,Bugis Junction
478,Holiday/ Rest & Relax,Bugis+
479,General business purpose,Capitol Piazza
480,Holiday/ Rest & Relax,Cathay Cineleisure Orchard
481,Holiday/ Rest & Relax,The Centrepoint
482,Holiday/ Rest & Relax,City Square Mall
483,Holiday/ Rest & Relax,CityLink Mall
484,General business purpose,Duo
485,General business purpose,Far East Plaza
486,Holiday/ Rest & Relax,Funan
487,Holiday/ Rest & Relax,Great World City
488,General business purpose,HDB Hub
489,Holiday/ Rest & Relax,ION Orchard
490,Holiday/ Rest & Relax,Junction 8
491,Holiday/ Rest & Relax,Knightsbridge
492,To shop/attend shopping events in Singapore,Liat Towers
493,Holiday/ Rest & Relax,Lucky Plaza
494,Holiday/ Rest & Relax,Marina Bay Sands
495,General business purpose,The Shoppes at Marina Bay Sands
496,Holiday/ Rest & Relax,Marina Bay Link Mall
497,Holiday/ Rest & Relax,Marina Square
498,Holiday/ Rest & Relax,Millenia Walk
499,Holiday/ Rest & Relax,Ngee Ann City
500,Holiday/ Rest & Relax,Orchard Central
501,Holiday/ Rest & Relax,Orchard Gateway
502,Holiday/ Rest & Relax,Orchard Plaza
503,Holiday/ Rest & Relax,Midpoint Orchard
504,Holiday/ Rest & Relax,Palais Renaissance
505,Holiday/ Rest & Relax,People's Park Centre
506,Holiday/ Rest & Relax,People's Park Complex
507,Holiday/ Rest & Relax,Plaza Singapura
508,Holiday/ Rest & Relax,Raffles City
509,General business purpose,Scotts Square
510,Holiday/ Rest & Relax,Sim Lim Square
511,Holiday/ Rest & Relax,Singapore Shopping Centre
512,General business purpose,The South Beach
513,Holiday/ Rest & Relax,Square 2
514,Holiday/ Rest & Relax,Sunshine Plaza
515,Holiday/ Rest & Relax,Suntec City
516,Holiday/ Rest & Relax,Tanglin Mall
517,Holiday/ Rest & Relax,Tanjong Pagar Centre
518,Holiday/ Rest & Relax,Tekka Centre
519,General business purpose,The Adelphi
520,Holiday/ Rest & Relax,The Paragon
521,Holiday/ Rest & Relax,Tiong Bahru Plaza
522,Holiday/ Rest & Relax,The Poiz
523,Holiday/ Rest & Relax,Thomson Plaza
524,Holiday/ Rest & Relax,United Square
525,Holiday/ Rest & Relax,Thomson V
526,General business purpose,Velocity@Novena Square
527,Holiday/ Rest & Relax,Wheelock Place
528,Holiday/ Rest & Relax,Wisma Atria
529,Holiday/ Rest & Relax,Zhongshan Mall
530,To shop/attend shopping events in Singapore,Bedok Mall
531,General business purpose,Century Square
532,Sightseeing/ Attractions,Our Tampines Hub
533,Holiday/ Rest & Relax,Changi City Point
534,Holiday/ Rest & Relax,Downtown East
535,Holiday/ Rest & Relax,Djitsun Mall Bedok
536,Holiday/ Rest & Relax,Eastpoint Mall
537,General business purpose,Jewel Changi Airport
538,Holiday/ Rest & Relax,Katong Shopping Centre
539,General business purpose,Katong Square
540,Holiday/ Rest & Relax,Kallang Wave Mall
541,Holiday/ Rest & Relax,Leisure Park Kallang
542,General business purpose,i12 Katong
543,Holiday/ Rest & Relax,Parkway Parade
544,General business purpose,Paya Lebar Square
545,Holiday/ Rest & Relax,Roxy Square
546,Holiday/ Rest & Relax,Singpost Centre
547,Sightseeing/ Attractions,Tampines 1
548,To shop/attend shopping events in Singapore,Tampines Mall
549,General business purpose,White Sands
550,General business purpose,City Plaza
551,Holiday/ Rest & Relax,Elias Mall
552,General business purpose,Loyang Point
553,Holiday/ Rest & Relax,888 Plaza
554,Holiday/ Rest & Relax,Admiralty Place
555,Exhibition/Trade show,Raffles Hotel
556,General business purpose,Canberra Plaza
557,General business purpose,Causeway Point
558,Holiday/ Rest & Relax,Woodlands Civic Centre
559,Holiday/ Rest & Relax,Broadway Plaza
560,Holiday/ Rest & Relax,Djitsun Mall
561,Holiday/ Rest & Relax,Jubilee Square
562,Holiday/ Rest & Relax,Junction 8
563,Holiday/ Rest & Relax,Junction Nine
564,To shop/attend shopping events in Singapore,Marsiling Mall
565,To shop/attend shopping events in Singapore,Northpoint City
566,Holiday/ Rest & Relax,Sembawang Shopping Centre
567,Holiday/ Rest & Relax,Sun Plaza
568,Holiday/ Rest & Relax,Vista Point
569,General business purpose,Wisteria Mall
570,Holiday/ Rest & Relax,Woodlands Mart
571,Holiday/ Rest & Relax,Woodlands North Plaza
572,Holiday/ Rest & Relax,Waterway Point
573,Holiday/ Rest & Relax,Compass One
574,Holiday/ Rest & Relax,Hougang Mall
575,Holiday/ Rest & Relax,Heartland Mall
576,Holiday/ Rest & Relax,NEX
577,Holiday/ Rest & Relax,Buangkok Square
578,General business purpose,Greenwich V
579,Holiday/ Rest & Relax,Hougang 1
580,General business purpose,Hougang Green Shopping Mall
581,Holiday/ Rest & Relax,Hougang Rivercourt
582,Holiday/ Rest & Relax,myVillage At Serangoon Garden
583,Holiday/ Rest & Relax,Northshore Plaza
584,Holiday/ Rest & Relax,Oasis Terraces
585,Holiday/ Rest & Relax,Punggol Plaza
586,Holiday/ Rest & Relax,Rivervale Mall
587,Holiday/ Rest & Relax,Rivervale Plaza
588,Holiday/ Rest & Relax,The Seletar Mall
589,Holiday/ Rest & Relax,Upper Serangoon Shopping Centre
590,Holiday/ Rest & Relax,Beauty World Centre
